variable_name*standard_name : mapped_name
sensible_heat_flux_from_rain*temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water : temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water
sigma_theta*sea_water_sigma_theta : sea_water_sigma_theta
snake_instrumentpressure*sea_water_pressure : sea_water_pressure
snake_pumpvacuum*sea_water_pressure : sea_water_pressure
solar_rad*downwelling_shortwave_flux_in_air : downwelling_shortwave_flux_in_air
sound_velocity*speed_of_sound_in_sea_water : speed_of_sound_in_sea_water
sp_humid_10*specific_humidity : specific_humidity
sp_humid_2*specific_humidity : specific_humidity
specific_humidity*specific_humidity : specific_humidity
specific_humidity_at_10m*specific_humidity : specific_humidity
specific_humidity_at_16p5m*specific_humidity : specific_humidity
specific_humidity_at_2m*specific_humidity : specific_humidity
specific_humidity_at_sea_surface*surface_specific_humidity : specific_humidity
speed_of_sound_in_sea_water*speed_of_sound_in_sea_water : speed_of_sound_in_sea_water
speed_over_ground*platform_speed_wrt_ground : platform_speed_wrt_ground
sss*sea_surface_salinity : sea_surface_salinity
sst*sea_surface_temperature : sea_surface_temperature
surface_current_velocity*sea_water_speed : sea_water_speed
surface_salinity*sea_water_practical_salinity : sea_water_practical_salinity
surface_temperature*sea_water_temperature : sea_water_temperature
temp2*temperature : sea_water_temperature
temperature*temperature : sea_water_temperature
temperature_at_18cm*sea_water_temperature : sea_water_temperature
temperature_at_1m*sea_water_temperature : sea_water_temperature
temperature_at_2m*sea_water_temperature : sea_water_temperature
temperature_at_36cm*sea_water_temperature : sea_water_temperature
temperature_at_3m*sea_water_temperature : sea_water_temperature
temperature_at_5m*sea_water_temperature : sea_water_temperature
temperature_at_sbe45_instrument*sea_water_temperature : sea_water_temperature
temperature_ctd*temperature : sea_water_temperature
temperature_qc_ctd*temperature_quality : sea_water_temperature
time*time : time
time_ctd*time : time
time_sg*time : time
tke_dissipation_rate_at_0p37m*specific_turbulent_kinetic_energy_dissipation_in_sea_water : specific_turbulent_kinetic_energy_dissipation_in_sea_water
u*east component of wind : eastward_wind
uncorrected_salinity_at_5m*sea_water_practical_salinity : sea_water_practical_salinity
uncorrected_temperature_at_5m*sea_water_temperature : sea_water_temperature
upper_error_bound_tke_dissipation_rate_at_0p37m*specific_turbulent_kinetic_energy_dissipation_in_sea_water : specific_turbulent_kinetic_energy_dissipation_in_sea_water
upper_pressure*sea_water_pressure : sea_water_pressure
upper_salinity*sea_water_practical_salinity : sea_water_practical_salinity
upper_temperature*sea_water_temperature : sea_water_temperature
upwelling_IR*surface_upwelling_longwave_flux_in_air : surface_upwelling_longwave_flux_in_air
v*north component of wind : northward_wind
wind_dir*wind_direction : wind_from_direction
wind_direction_relative_to_water*sea_surface_wind_wave_to_direction : wind_from_direction
wind_spd*wind_speed : wind_speed
wind_spd_10*wind_speed : wind_speed
wind_spd_5*wind_speed : wind_speed
wind_speed*wind speed : wind_speed
wind_speed_relative_to_water_18m*wind_speed : wind_speed
wind_speed_relative_to_water_at_10m*wind_speed : wind_speed
wind_speed_relative_to_water_at_2m*wind_speed : wind_speed
winddirection1*wind_direction : wind_from_direction
windspeed1*wind_speed : wind_speed
z*depth : depth
z1*depth : depth
z2*depth : depth
zonal_wind_speed*eastward_wind : eastward_wind
